Posição,Nome Competidor,ID Competidor,Nacionalidade,1Q,2Q,3Q,4Q,5Q,6Q,7Q,8Q,9Q,10Q,11Q,12Q,13Q,14Q,15Q,16Q,MRQ,OVERQ,16 MRQ,"a. 1
1Q","a. 2
1Q","a. 3
1Q","a. 4
1Q","a. 5
1Q","a. 6
1Q","a. 7
1Q","a. 8
1Q","a. 9
1Q","a.10
1Q","11 M*
2Q","11 MR
2Q",Total,Nett
12,"CHARLWOOD CHRIS, CATT AMELIA",832,,2.0,6.0,11.0,5.0,9.0,10.0,(18.0),8.0,9.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,78,60
12,COLLINGRIDGE DAISY,934,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18.0,3.0,9.0,22.0,39.0,(51.0),13.0,6.0,31.0,25.0,-,-,217,166
12,JESSIE KAMPMAN,2199,FRA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12.0,-,-,-,-,-,-,-,-,-,-,-,-,-,12,12
13,LYNCH FINN,2970,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10.0,16.0,14.0,7.0,13.0,2.0,30.0,11.0,5.0,5.0,-,-,113,83
13,DAHNKE THERES CIPRA MATTI,1005,,9.0,6.0,4.0,5.0,14.0,9.0,8.0,5.0,(20.0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,80,60
13,LOLA SORIN,2866,FRA,22.0,8.0,20.0,13.0,11.0,6.0,12.0,11.0,19.0,16.0,15.0,7.0,10.0,13.0,7.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,190,129
13,TONI VODISEK,4906,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13.0,-,-,-,-,-,-,-,-,-,-,-,-,-,13,13
13,"MMCCKHEANRZDIIEE,,  IWSIALLIAACM",3524,,2.0,11.0,4.0,8.0,11.0,3.0,2.0,20.0,15.0,(27.0),25.0,23.0,1.0,3.0,15.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,170,143
13,KARACHALIOU VASILEIA,2472,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.0,20.0,(36.0),24.0,11.0,30.0,11.0,28.0,18.0,27.0,-,-,207,171
13,"FARESE LAURA, ZOCHLING MATTHA$?US",1408,AUT,16.0,6.0,9.0,7.0,14.0,16.0,12.0,17.0,16.0,13.0,13.0,(19.0),17.0,15.0,5.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,195,176
13,"SOFIA GIUNCHIGLIA, GULIA SCHIO",4527,,8.0,12.0,14.0,5.0,1.0,7.0,9.13,15.0,11.0,12.0,11.0,10.0,9.0,8.0,6.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"138,13","123,13"
13,KATIE DABSON,2507,GBR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13.0,-,-,-,-,-,-,-,-,-,-,-,-,-,13,13
13,RADOSLAW FURMANSKI,4084,POL,16.0,14.0,5.0,12.0,(5.0),6.0,5.0,(19.0),6.0,(29.0),3.0,9.0,13.0,12.0,7.0,7.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,220,115
14,GISELA PULIDO BORRELL,1684,ESP,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14.0,-,-,-,-,-,-,-,-,-,-,-,-,-,14,14
14,VOROBEVA ELENA,5073,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7.0,36.0,(43.0),1.0,42.0,17.0,4.0,13.0,10.0,42.0,-,-,215,172
14,RODRIGUEZ JOEL,4188,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9.0,18.0,6.0,11.0,5.0,6.0,14.0,13.0,21.0,3.0,-,-,106,85
14,"CCHARUILBVAEERBTLROLOI , VGIISUCLIOON,",792,,11.0,5.0,5.0,7.0,4.0,6.0,14.0,18.0,12.0,9.0,14.0,8.0,10.0,(3.0),20.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,174,143
14,ALEXANDER EHLEN,117,MON,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14.0,-,-,-,-,-,-,-,-,-,-,-,-,-,14,14
14,"NEWBERRY-MOORE SARAH, LIEBENBERG DAVID",3642,USA,10.0,10.0,22.0,(24.0),21.0,9.0,17.0,5.0,11.0,16.0,15.0,13.0,13.0,3.0,21.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,210,186
14,RYTIS JASIUNAS,4267,LTU,8.0,12.0,18.0,9.0,(5.0),8.0,10.0,13.0,(27.0),4.0,3.0,(21.0),7.0,9.0,3.0,11.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,220,115
14,"PACAUD MATISSE, DE GENNES LUCIE",3854,,8.0,4.0,4.0,3.0,11.0,(15.0),10.0,7.0,14.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,76,61
14,"MEGAN BRICKWOOD, STEPHANIE ORTON",3406,,6.0,10.0,1.0,11.0,3.0,5.0,6.0,11.0,10.0,7.0,15.0,13.0,13.0,16.0,15.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,142,126
14,LENA ERDIL,2738,,11.0,7.0,11.0,3.0,4.0,15.0,8.0,17.0,11.0,29.0,9.0,(33.0),19.0,15.0,(33.0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,225,130
15,ADRIEN MESTRE,26,FRA,14.0,7.0,11.0,5.0,24.0,7.0,(5.0),(5.0),4.0,(27.0),25.0,7.0,7.0,17.0,7.0,3.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,279,138
15,"TDIBCCK, STOBCN, ROBERT",4708,,16.0,13.0,10.0,22.0,3.0,4.0,11.0,3.0,(3.0),6.0,6.0,20.0,21.0,7.0,3.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,177,145
15,"LIDDELL JAKE, COPELAND LUCY",2792,AUS,11.0,20.0,14.0,14.0,13.0,21.0,11.0,14.0,18.0,15.0,(24.0),16.0,11.0,13.0,11.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,226,202
15,LILY YOUNG,2808,GBR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15.0,-,-,-,-,-,-,-,-,-,-,-,-,-,15,15
15,"PATRICIA SUAREZ, MARIA RCN CANTERO",3893,,10.0,4.0,15.0,6.0,5.0,15.0,8.0,12.0,5.0,6.0,14.0,5.0,10.0,14.0,12.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,141,126
15,ALISA ENGELMANN,161,GER,18.0,15.0,10.0,14.0,17.0,16.0,15.0,14.0,14.22,9.0,17.0,13.0,17.0,7.0,(33.0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"229,22","161,22"
15,"WINKEL MALTE, WINKEL ANASTASIYA",5155,,1.0,2.0,8.0,11.0,12.0,6.0,11.0,11.0,(21.0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,83,62
15,JAYET MAUD,2153,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22.0,29.0,4.0,2.0,7.0,35.0,(66.0),27.0,49.0,3.0,-,-,244,178
15,JURISIC FILIP,2429,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10.0,6.0,7.0,5.0,9.0,23.0,10.0,23.0,4.0,13.0,-,-,110,87
15,ARTHUR LHEZ,389,FRA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15.0,-,-,-,-,-,-,-,-,-,-,-,-,-,15,15
16,BOVER MARIA GARCIA PABLO,639,,12.0,13.0,10.0,6.0,3.0,8.0,13.0,(23.0),7.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,95,72
16,AMBAR PAPAZIAN,182,FRA,15.0,16.0,17.0,18.0,10.0,13.0,17.0,15.0,16.0,8.0,13.0,9.0,23.0,21.0,(33.0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,244,167
16,"TBAORRRRIAOD, OA, NADNRTEOSNIO",4706,,6.0,3.0,2.0,9.0,8.0,13.0,6.0,17.0,18.0,10.0,7.0,25.0,(28.0),26.0,6.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,184,156
16,DOMINIK LEWINSKI,1158,POL,13.0,17.0,10.0,(46.0),14.0,9.0,6.0,15.0,12.0,(26.0),17.0,7.0,9.0,(18.0),15.0,7.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,241,151
16,NICOLAS PARLIER,3678,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16.0,-,-,-,-,-,-,-,-,-,-,-,-,-,16,16
16,MAGDALENA WOYCIECHOWSKA,3000,POL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16.0,-,-,-,-,-,-,-,-,-,-,-,-,-,16,16
16,WHALEY SAM,5119,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11.0,1.0,6.0,3.0,6.0,13.0,8.0,44.0,34.0,6.0,-,-,132,88
16,"ODILE VAN AANHOLT, EMMA SIEWERS",3781,,(20.0),20.0,13.0,4.0,9.0,6.0,2.0,3.0,2.0,2.0,16.0,16.0,5.0,13.0,16.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,147,127
16,"BESSON BILLY, ANCIAN NOA",553,FRA,21.0,8.0,15.0,,16.0,15.0,,19.0,14.0,14.0,16.0,10.0,6.0,11.0,13.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,244,211
16,ANDRULYTE VIKTORIJA,268,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,38.0,15.0,8.0,37.0,34.0,7.0,14.0,31.0,1.0,(45.0),-,-,230,185
17,THOMSON ZOE,4787,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13.0,16.0,(66.0),9.0,10.0,13.0,32.0,42.0,6.0,44.0,-,-,251,185
17,STIPANOVIA++ TONCI,4620,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7.0,7.0,17.0,6.0,4.0,2.0,18.0,21.0,11.0,20.0,-,-,113,92
17,MAKSYMILIAN ZAKOWSKI,3027,POL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17.0,-,-,-,-,-,-,-,-,-,-,-,-,-,17,17
17,"PAPOUTSOGLOU VASILIS, KLONARIDOU RAFAILINA",3878,,(23.0),8.0,8.0,15.0,10.0,4.0,3.0,14.0,12.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,97,74
17,"LAURA HARDING, ANNIE WILMOT",2700,AUS,4.0,6.0,3.0,12.0,14.0,7.0,6.0,7.0,(20.0),9.0,5.0,18.0,18.0,6.0,19.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,154,134
17,"LANGE SANTIAGO, TRAVASCIO VICTORIA",2676,ARG,18.0,2.0,16.0,20.0,19.0,12.0,16.0,18.0,9.0,20.0,6.0,20.0,(28.0),10.0,26.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,240,212
17,"FCEHRISRTAER,E LSEEO, NSAIRMDOONE",1416,,(3.0),3.0,3.0,7.0,1.0,12.0,9.0,2.0,11.0,15.0,17.0,9.0,5.0,11.0,13.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,208,176
17,LING YEUNG AU,2830,HKG,20.0,19.0,(27.0),13.0,18.0,16.0,13.0,12.0,15.0,9.0,(21.0),11.0,5.0,14.0,9.0,(3.0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,261,174
17,SOFIA TOMASONI,4530,ITA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17.0,-,-,-,-,-,-,-,-,-,-,-,-,-,17,17
17,MARION COUTURIER,3172,,16.0,11.0,19.0,25.0,29.0,10.0,14.0,16.0,10.0,14.0,23.0,(33.0),12.0,5.0,(33.0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,270,175
18,"JERWOOD NIA, NICHOLAS CONOR",2188,,10.0,11.0,7.0,9.0,13.0,5.0,19.0,10.0,(25.0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,109,84
18,PASCHALIDIS IORDANIS PAPADOPOULOU MYRTO,3884,,12.0,19.0,19.0,10.0,18.0,14.0,13.0,11.0,10.0,,23.0,14.0,15.0,20.0,15.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,246,213
18,CARDOZO LUCIANA,723,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,35.0,18.0,13.0,31.0,12.0,(55.0),19.0,20.0,11.0,26.0,-,-,240,185
18,MAEGLI JUAN I.,2993,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.0,8.0,10.0,8.0,21.0,2.0,11.0,24.0,6.0,23.0,-,-,117,93
18,"TNUEERDNHERA,M J, OTELHOMAS",4840,,7.0,14.0,8.0,10.0,13.0,9.0,10.0,13.0,17.0,12.0,21.0,19.0,(23.0),14.0,10.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,200,177
18,"CHARLINE PICON, SARAH LA STEYEART",821,,12.0,11.0,17.0,2.0,13.0,6.0,8.0,12.0,3.0,13.0,18.0,17.0,12.0,7.0,10.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,161,143
18,"PASCHALIDIS IORDANIS, PAPADOPOULOU MYRTO",3885,GRE,12.0,19.0,19.0,10.0,18.0,14.0,13.0,11.0,10.0,0.0,23.0,14.0,15.0,20.0,15.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,246,213
18,KATY SPYCHAKOV,2516,ISR,23.0,23.0,28.0,17.0,14.0,19.0,23.0,9.0,12.0,15.0,19.0,11.0,24.0,25.0,9.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,271,194
18,TAEHOON LEE,4663,KOR,23.0,16.0,(26.0),21.0,19.0,(24.0),18.0,20.0,(24.0),19.0,7.0,5.0,7.0,4.0,19.0,9.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,261,187
18,NINA ARCISZ,3726,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18.0,-,-,-,-,-,-,-,-,-,-,-,-,-,18,18
18,BRUNO LOBO,678,BRA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18.0,-,-,-,-,-,-,-,-,-,-,-,-,-,18,18
19,NATASHA BRYANT,3612,,17.0,19.0,15.0,29.0,21.0,24.0,16.0,19.0,18.0,20.0,27.0,13.0,14.0,13.0,15.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,280,200
19,WILL MCMILLAN,5131,THA,5.0,9.0,14.0,3.0,11.0,17.0,2.0,21.0,9.0,32.0,9.0,(3.0),(35.0),(44.0),33.0,35.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,318,200
19,"FPLRAECTHTNBEERR,G KEER,A NJUAKOB",1515,,5.0,11.0,12.0,22.0,10.0,(25.0),10.0,6.0,3.0,11.0,13.0,15.0,20.0,21.0,21.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,205,180
19,DVIR AZULAY,1187,ISR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19.0,-,-,-,-,-,-,-,-,-,-,-,-,-,19,19
19,"BILLY MARGAUX, MAURIN LEO",576,FRA,19.0,(23.0),7.0,17.0,15.0,17.0,18.0,22.0,15.0,18.0,22.0,17.0,19.0,23.0,17.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,269,246
19,"PIA DAHL ANDER, NORA EDLAND",4011,,5.0,14.0,11.0,12.0,4.0,3.0,14.0,5.0,14.0,14.0,7.0,15.0,19.0,17.0,9.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,163,144
19,BUESSELBERG JULIA,684,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,(66.0),40.0,11.0,27.0,37.0,25.0,33.0,9.0,7.0,1.0,-,-,256,190
19,MAI DESJARDINS ANAI,3006,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19.0,-,-,-,-,-,-,-,-,-,-,-,-,-,19,19
19,"TOTIS ANDREW, LINUSSI ALICE",4909,,12.0,15.0,11.0,7.0,3.0,6.0,(24.0),24.0,16.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,118,94
19,VADNAI JONATAN,4952,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21.0,4.0,6.0,8.0,6.0,3.0,19.0,17.0,17.0,14.0,-,-,115,94
20,FABIEN PIANAZZA,1397,FRA,22.0,(38.0),22.0,(35.0),21.0,15.0,26.0,14.0,(29.0),20.0,3.0,5.0,19.0,16.0,11.0,17.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,313,211
20,MAKRI MARILENA,3025,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,(49.0),27.0,28.0,5.0,44.0,39.0,20.0,10.0,12.0,7.0,-,-,241,192
20,JOHANNA HJERTBERG,2266,SWE,8.0,14.0,22.0,16.0,12.0,14.0,18.0,26.0,21.0,18.0,21.0,19.0,30.0,(33.0),(33.0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,305,209
20,"JFIASUCVHINE,R ,Y AKNENVIN",2203,,17.0,8.0,23.0,9.0,7.0,5.0,23.0,10.0,10.0,7.0,9.0,6.0,24.0,(25.0),22.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,205,180
20,MAGGIE PESCETTO,3003,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20.0,-,-,-,-,-,-,-,-,-,-,-,-,-,20,20
20,"BERGSTROM OLIVIA, CHRISTENSSON HUGO",533,,8.0,7.0,10.0,10.0,19.0,5.0,23.0,17.0,(24.0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,123,99
20,"CARLOTTA OMARI, SVEVA SEZ CARRARO",754,,7.0,7.0,9.0,10.0,11.0,16.0,10.0,6.0,16.0,6.0,2.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,84
20,SPADONI ALESSIO,4562,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8.0,2.0,9.0,3.0,18.0,6.0,31.0,6.0,36.0,26.0,-,-,145,109
20,"LIU JUSTIN, LIM DENISE",2846,SGP,17.0,14.0,17.0,,22.0,23.0,19.0,21.0,22.0,19.0,9.0,24.0,21.0,19.0,19.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,299,266
20,MARKUS EDEGRAN,3189,USA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20.0,-,-,-,-,-,-,-,-,-,-,-,-,-,20,20
21,IMENEO CASEY,1985,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,(39.0),26.0,35.0,3.0,1.0,15.0,38.0,4.0,35.0,39.0,-,-,235,196
21,ELLIOTT LUKE,1265,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9.0,7.0,4.0,14.0,9.0,17.0,13.0,10.0,31.0,27.0,-,-,141,110
21,"PETARD TITOUAN, SALOU CHLOE",3965,FRA,,27.0,23.0,,11.0,19.0,14.0,20.0,24.0,17.0,8.0,23.0,22.0,24.0,18.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,316,283
21,"LPEEFLESBMVAREEK,E YRASN, NTICOKM",2892,,13.0,10.0,9.0,2.0,8.0,12.0,13.0,5.0,8.0,25.0,3.0,(3.0),25.0,18.0,8.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,218,187
21,DOR ZARKA,1173,ISR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21.0,-,-,-,-,-,-,-,-,-,-,-,-,-,21,21
21,CHING YIN CHENG,854,HKG,24.0,18.0,20.0,(30.0),15.0,21.0,(28.0),22.0,(30.0),15.0,13.0,13.0,11.0,23.0,9.0,9.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,301,213
21,"FREYA BLACK, SASKIA WPNSATIDEY",1570,,12.0,3.0,12.0,7.0,4.0,13.0,12.0,(20.0),20.0,1.0,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,105,85
21,SOFIA RENNA,4529,ITA,20.0,20.0,23.0,21.0,18.0,21.0,22.0,21.0,13.0,17.0,15.0,(33.0),21.0,23.0,9.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,297,218
21,"BERTA ELENA, IZZO JACOPO",546,,13.0,10.0,9.0,10.0,11.0,16.0,16.0,18.0,(19.0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,122,103
21,MAYA ASHKENAZI,3388,ISR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21.0,-,-,-,-,-,-,-,-,-,-,-,-,-,21,21
22,HELOISE PEGOURIE,1863,FRA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22.0,-,-,-,-,-,-,-,-,-,-,-,-,-,22,22
22,SEGUEL LACA!MARA CLEM,4429,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.0,5.0,8.0,12.0,8.0,15.0,25.0,40.0,12.0,38.0,-,-,168,128
22,"VHAONU TVMUAGNT,,  SPICIMPIO",5014,,6.0,9.0,4.0,10.0,(3.0),15.0,15.0,22.0,11.0,13.0,19.0,14.0,18.0,13.0,28.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,229,197
22,RINA NIIJIMA,4158,,24.0,22.0,31.0,19.0,22.0,25.0,24.0,20.0,22.0,26.0,21.0,15.0,11.0,11.0,11.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,304,222
22,VALENTIN BONTUS,4962,AUT,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22.0,-,-,-,-,-,-,-,-,-,-,-,-,-,22,22
22,"SILVIA SICOURI, MARIA MARCHESINI",4485,,14.0,15.0,4.0,3.0,13.0,8.0,13.0,8.0,9.0,11.0,3.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,101,86
22,BOLOU MARIE,612,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11.0,6.0,26.0,25.0,(52.0),4.0,31.0,25.0,47.0,22.0,-,-,249,197
22,"FAHRNI LINDA, SCHUPBACH CYRIL",1401,,19.0,14.0,13.0,13.0,8.0,1.0,(25.0),22.0,17.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,132,107
22,OEL POULIQUEN,3786,,(28.0),20.0,23.0,25.0,(34.0),22.0,15.0,10.0,(28.0),28.0,9.0,17.0,15.0,8.0,11.0,11.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,304,214
22,"BALANGER ENZO, DUBOIS ROXANE",435,FRA,,12.0,28.0,15.0,20.0,22.0,24.0,23.0,20.0,21.0,17.0,21.0,20.0,22.0,20.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,318,285
23,MCMAHON EWAN,3401,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.0,8.0,18.0,19.0,6.0,22.0,9.0,22.0,19.0,21.0,-,-,150,128
23,"CRAIN CARSON, ATWOOOD CAROLINE",974,USA,15.0,18.0,10.0,18.0,24.0,29.0,22.0,24.0,21.0,,25.0,18.0,18.0,18.0,28.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,321,288
23,FALASCA LUCIA,1404,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10.0,19.0,29.0,47.0,40.0,9.0,(48.0),30.0,2.0,13.0,-,-,247,199
23,TIANA LAPORTE,4795,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23.0,-,-,-,-,-,-,-,-,-,-,-,-,-,23,23
23,"COSTA DIOGO, JOAO CAROLINA",959,,15.0,9.0,9.0,18.0,5.0,(27.0),22.0,20.0,11.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,136,109
23,"MATHILDE LOVADINA, MARINE RIOU",3297,,11.0,8.0,10.0,8.0,7.0,11.0,7.0,(20.0),18.0,7.0,6.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,113,93
23,ZOFIA NOCETI-KLEPACKA,5291,,(33.0),26.0,16.0,(33.0),19.0,20.0,20.0,24.0,20.0,21.0,13.0,15.0,22.0,19.0,(33.0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,334,235
23,"CCOOLNLNEOY,R ,J ISMHAUN",793,,9.0,18.0,8.0,13.0,17.0,18.0,14.0,7.0,13.0,21.0,12.0,(26.0),15.0,20.0,23.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,234,208
23,FABIAN WOLF,1395,GER,(5.0),(35.0),24.0,17.0,28.0,20.0,14.0,18.0,20.0,6.0,13.0,13.0,31.0,(5.0),5.0,5.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,363,214
23,JAN MARCINIAK,2118,POL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23.0,-,-,-,-,-,-,-,-,-,-,-,-,-,23,23
24,ALESSIO BRASILI,105,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24.0,-,-,-,-,-,-,-,-,-,-,-,-,-,24,24
24,BRUNA MARTINELLI,669,,25.0,24.0,26.0,23.0,26.0,26.0,28.0,23.0,23.0,24.0,19.0,21.0,16.0,17.0,11.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,332,252
24,"BOOTH RUBEN, BOOTH RITA",615,AUS,,3.0,24.0,21.0,26.0,25.0,23.0,25.0,25.0,26.0,27.0,27.0,25.0,27.0,25.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,362,329
24,BENOIT MERCEUR,525,,18.0,(32.0),21.0,27.0,17.0,18.0,11.0,17.0,19.0,21.0,11.0,(33.0),(3.0),13.0,13.0,13.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,323,219
24,"DUQUE JULIANA, MARTINS RAFAEL",1186,,6.0,12.0,17.0,8.0,19.0,17.0,12.0,19.0,(23.0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,133,110
24,NICHOLLS MATILDA,3650,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,(40.0),31.0,17.0,36.0,14.0,34.0,10.0,33.0,13.0,16.0,-,-,244,204
24,"PASSAMONTI, ARIANNA FAVA, GULIA",3889,,3.0,4.0,18.0,11.0,17.0,12.0,11.0,13.0,13.0,9.0,5.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,116,98
24,KIMBERLEY RIJSBERGEN,2572,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24.0,-,-,-,-,-,-,-,-,-,-,-,-,-,24,24
